20, -10, 0, 5, -5,
-20, 10, 0, -5, 5,

20, -15, 0, 10, -5,
-20, 15, 0, -10, 5,

15, -5, 0, 5, 0,
-15, 5, 0, -5, 0,

10, -5, 0, 0, 0,
-10, 5, 0, 0, 0,

25, -15, 0, 5, -5,
-25, 15, 0, -5, 5,

40, -25, -15, 0, -10,
-40, 25, 15, 0, 10,

25, -35, 0, 0, 20,
-25, 35, 0, 0, -20,

35, 0, -20, 0, 0,
-35, 0, 20, 0, 0,

35, -40, 0, 0, 15,
-35, 40, 0, 0, -15,

25, -15, 0, 5, -5,
-25, 15, 0, -5, 5,

3, 10, -20, 0, 6,
-3, -10, 20, 0, -6,

5, 30, -30, 0, 8,
-5, -30, 30, 0, -8,

2, 25, 0, -5, -20,
-2, -25, 0, 5, 20,

2, 25, 0, -5, -20,
-2, -25, 0, 5, 20,

2, 25, 0, -5, -20,
-2, -25, 0, 5, 20,

0, 25, 0, 0, -15,
0, -25, 0, 0, 15,

0, 30, 0, 0, -30,
0, -30, 0, 0, 30,

15, 40, 0, 0, -30,
-15, -40, 0, 0, 30,

0, 30, 0, 0, -30,
0, -30, 0, 0, 30,

5, 25, 0, 0, -30,
-5, -25, 0, 0, 30,

10, 25, 0, 0, -35,
-10, -25, 0, 0, 35,

10, 25, 0, -10, -35,
-10, -25, 0, 10, 35,

10, 25, 0, -10, -35,
-10, -25, 0, 10, 35,

5, 20, -30, -5, 0,
-5, -20, 30, 5, 0,

5, 40, -30, -20, 0,
-5, -40, 30, 20, 0,

0, -15, 15, 0, 0, 
0, 15, -15, 0, 0, 

5, -10, 10, 0, 0,
-5, 10, -10, 0, 0,

0, -15, 30, 0, -15,
0, 15, -30, 0, 15,

0, -10, 20, 0, -10,
0, 10, -20, 0, 10, 

0, -20, 30, 10, -10,
0, 20, -30, -10, 10,

0, -10, 20, 0, -10,
0, 10, -20, 0, 10,

0, -15, 30, -18, 0,
0, 15, -30, 18, 0,

0, -20, 25, 0, -5,
0, 20, -25, 0, 5,

0, -20, 25, 0, -5,
0, 20, -25, 0, 5,

0, -20, 25, 0, -5,
0, 20, -25, 0, 5,

0, -25, 40, 0, -15,
0, 25, -40, 0, 15,

0, -20, 35, 0, -5,
0, 20, -35, 0, 5, 

0, -20, 30, 0, -5,
0, 20, -30, 0, 5, 

0, -5, 25, 0, -20,
0, 5, -25, 0, 20,

0, -20, 30, 0, -5,
0, 20, -30, 0, 5, 

0, -15, 15, 30, 10,
0, 0, 0, -45, -5,

0, -25, 25, 30, 0,
0, 10, 0, -30, 0,

0, -20, 30, 35, -30,
0, 30, 0, -30, 10,

0, -25, 25, 30, 0,
0, 10, -12, -30, 0,

-10, -30, -20, 10, -20,
0, 0, 10, -30, 0,

0, -25, 0, 30, 0,
20, 0, 0, 0, -30,

0, -10, 0, 15, 0,
30, -20, -10, 0, 0,

10, -20, 0, 40, 0,
-30, 0, 0, -25, 0,

0, -30, 0, 40, 0,
-5, 0, 0, -40, -20,

10, -60, 0, 50, -15,
-30, 0, 0, -40, 20,

20, -15, -25, 0, 40,
-30, 16, 0, 0, -35,

10, -10, 0, 0, 10,
-16, 0, 0, 0, -15,

10, 0, -10, 15, 20,
-10, 0, 0, -30, -15,

-20, -10, 0, 0, 30,
10, 20, 0, 0, -30,

10, 30, 0, 0, 20,
-20, -10, 0, 0, -30,

20, -15, 0, 0, 30,
-20, 20, 0, 0, -30,

-10, 0, 0, 0, 40,
20, 0, 0, 0, -40,

10, -20, 0, 0, 30,
-15, 30, 0, 0, -15,

10, -40, 0, 0, 30,
-20, 15, 0, 0, -20,

0, -5, 10, 0, 20,
-15, 10, 0, 0, -10,
